2025-07-29 18:58:05,840 - INFO - Processing bug pytest-dev__pytest-7490
2025-07-29 18:58:05,840 - INFO - ================ localize pytest-dev__pytest-7490 ================
2025-07-29 18:58:10,480 - INFO - prompting with message:
Please look through the following GitHub problem description and Repository structure and provide a list of folders that are irrelevant to fixing the problem.
Note that irrelevant folders are those that do not need to be modified and are safe to ignored when trying to solve this problem.

### GitHub Problem Description ###
Pytest 6: Dynamically adding xfail marker in test no longer ignores failure
<!--
Thanks for submitting an issue!

Here's a quick checklist for what to provide:
-->

## Description

With pytest 5.x, we can dynamically add an xfail to a test `request` object using `request.node.add_marker(mark)` (see example below). In 5.x this treated the failing test like a a test marked statically with an `xfail`. With 6.0.0rc0 it raises. 

## Versions

<details>

```
$ pip list
Package                       Version                         Location                                                      
----------------------------- ------------------------------- --------------------------------------------------------------
a                             1.0                             
aioftp                        0.13.0                          
aiohttp                       3.6.2                           
alabaster                     0.7.12                          
apipkg                        1.5                             
aplus                         0.11.0                          
appdirs                       1.4.3                           
appnope                       0.1.0                           
arrow                         0.15.7                          
aspy.yaml                     1.3.0                           
astropy                       3.2.3                           
asv                           0.4.1                           
async-timeout                 3.0.1                           
atomicwrites                  1.3.0                           
attrs                         19.1.0                          
aws-sam-translator            1.15.1                          
aws-xray-sdk                  0.95                            
Babel                         2.7.0                           
backcall                      0.1.0                           
binaryornot                   0.4.4                           
black                         19.10b0                         
bleach                        3.1.0                           
blurb                         1.0.7                           
bokeh                         1.3.4                           
boto                          2.49.0                          
boto3                         1.7.84                          
botocore                      1.10.84                         
bqplot                        0.12.12                         
branca                        0.3.1                           
cachetools                    4.1.0                           
certifi                       2019.9.11                       
cffi                          1.13.2                          
cfgv                          2.0.1                           
cfn-lint                      0.25.0                          
cftime                        1.0.4.2                         
chardet                       3.0.4                           
Click                         7.0                             
click-plugins                 1.1.1                           
cligj                         0.5.0                           
cloudpickle                   1.2.2                           
colorama                      0.4.3                           
colorcet                      2.0.2                           
coloredlogs                   14.0                            
cookiecutter                  1.7.2                           
cookies                       2.2.1                           
coverage                      4.5.4                           
cryptography                  2.8                             
cycler                        0.10.0                          
Cython                        3.0a5                           
cytoolz                       0.10.1                          
dask                          2.4.0                           /Users/taugspurger/Envs/pandas-dev/lib/python3.7/site-packages
DateTime                      4.3                             
decorator                     4.4.0                           
defusedxml                    0.6.0                           
Deprecated                    1.2.7                           
distributed                   2.4.0                           
docker                        4.1.0                           
docutils                      0.15.2                          
ecdsa                         0.14.1                          
entrypoints                   0.3                             
et-xmlfile                    1.0.1                           
execnet                       1.7.1                           
fastparquet                   0.3.3                           /Users/taugspurger/sandbox/fastparquet                        
feedparser                    5.2.1                           
Fiona                         1.8.8                           
flake8                        3.7.9                           
flake8-rst                    0.7.1                           
fletcher                      0.3.1                           
flit                          2.1.0                           
flit-core                     2.1.0                           
fsspec                        0.7.4                           
future                        0.18.2                          
gcsfs                         0.6.2                           
geopandas                     0.6.0+1.g95b8e1a.dirty          /Users/taugspurger/sandbox/geopandas                          
